"x" "y" "altitude"
"309465" -48.3498985214294 -1.35040725961248 7
"85649" -48.3940610235531 -1.1703054241987 17
"90032" -48.3936419573597 -1.17337735683697 14
"431628" -48.4693939331747 -1.45248675403367 18
"43097" -48.4588867019477 -1.13461279365648 10
"323831" -48.326575894109 -1.36267015914614 23
"407813" -48.4218220503329 -1.43134485630049 27
"350730" -48.2668916338394 -1.38522381746207 22
"293650" -48.2969133902192 -1.33694306708959 20
"1035" -48.332001201059 -1.06523422099987 5
"210521" -48.3608015958293 -1.27333388462496 8
"449526" -48.4548226503866 -1.49408824237771 19
"296074" -48.3757178124181 -1.33898425308837 10
"225071" -48.3397708257517 -1.28434406725366 7
"150132" -48.2987642923324 -1.22565183548433 12
"347869" -48.2746635749481 -1.38299863406269 37
"450383" -48.438261689242 -1.49546541949453 16
"221970" -48.2572944329048 -1.28188247170961 20
"196077" -48.5406349919777 -1.26345696072694 12
"430507" -48.4433072579261 -1.45161925129658 25
"164217" -48.2612252518511 -1.23755231011236 14
"43126" -48.4122685856248 -1.13457117868594 9
"248486" -48.3446772715448 -1.30250312181604 7
"148646" -48.2154592763308 -1.2240299746205 39
"286237" -48.4824272504376 -1.33183459138652 7
"93480" -48.2399231874641 -1.17592845334903 19
"166519" -48.3407374235584 -1.2401174860043 19
"85764" -48.246088423715 -1.16993962503367 37
"4032" -48.4001107557991 -1.07548744791589 9
"304041" -48.3854231137169 -1.34569789910239 17
"172527" -48.3963484915545 -1.24502106227418 11
"360273" -48.4150653385694 -1.39293254115651 19
"367195" -48.3653855066766 -1.39846304998223 22
"158100" -48.358899920205 -1.23269460065502 13
"28089" -48.3394459480501 -1.11830583284401 30
"398682" -48.3892917898984 -1.42397615211692 11
"235337" -48.4104532384162 -1.29265669602918 20
"160051" -48.3772124245255 -1.2341558709684 36
"265359" -48.5305937874196 -1.31568241967555 17
"442192" -48.4976777942638 -1.47467820834599 1
"14714" -48.3896706500605 -1.1012884703646 20
"238991" -48.2866917269511 -1.2953193425402 26
"102724" -48.1752720628742 -1.18321693693126 44
"113830" -48.4010229789092 -1.1933079493815 19
"154417" -48.390259129012 -1.22923447066816 13
"455824" -48.4411903762691 -1.50675307066333 15
"303363" -48.4123414654299 -1.34516819288635 11
"120715" -48.4147067411169 -1.1993725848839 14
"330247" -48.4825283480092 -1.36842580467576 3
"312707" -48.246395164814 -1.35308408670631 25
"352417" -48.2661963385566 -1.38661937349561 40
"426286" -48.4408136161708 -1.44798535253871 23
"200070" -48.4673676574101 -1.26645858196195 16
"80476" -48.3862951795098 -1.16634138823217 8
"13567" -48.385939272015 -1.09907616268972 16
"314258" -48.3650634705559 -1.3547994916721 15
"432457" -48.3671273539676 -1.45292771048035 17
"97523" -48.3976598401186 -1.17945596723027 19
"417915" -48.460249125381 -1.44018650134321 13
"48398" -48.2793565933204 -1.13919607683105 22
"288582" -48.2534929482425 -1.33312439597276 36
"418575" -48.290135830076 -1.44054779977894 21
"24442" -48.324744259902 -1.11396342986767 34
"101464" -48.4427490558122 -1.18264033232549 10
"95613" -48.4538532265388 -1.17790224910779 18
"227928" -48.4648499569234 -1.28698595825324 11
